idx	letter	header	formula	val_r6	val_r12
86	CH	APB / 4	=IF($CD12=0, BT12, BT12-MIN(BT12,MAX(0,$CD12-SUMIF($BQ$5:$BS$5,">"&CH$5,$BQ12:$BS12))) )	0	0
87	CI	Partial Surrender Charge / Cov / 1	=MAX((BQ12-CE12)/1000*AN12,0)	0	0
88	CJ	Cov / 2	=MAX((BR12-CF12)/1000*AO12,0)	0	0
89	CK	Cov / 3	=MAX((BS12-CG12)/1000*AP12,0)	0	0
90	CL	APB / 4	0	0	0
91	CM	Total PSC DBO	=IF(NOT(sbln_PSC),0,SUM(CI12:CL12))	0	0
92	CN	PSC Flag	=CM12>AT12	False	False
93	CO	Increase - Specified Amount / vDBO_FaceIncrease	=IF(CC12,IF(CB12>0,CB12,0),0)	0	0
94	CP	Cov / 1	=CE12+ IF(AND($CC12,$ET11=CP$5),$CO12,0)	0	150000
95	CQ	Cov / 2	=CF12+ IF(AND($CC12,$ET11=CQ$5),$CO12,0)	0	0
96	CR	Cov / 3	=CG12+ IF(AND($CC12,$ET11=CR$5),$CO12,0)	0	0
97	CS	APB / 4	=CH12+ IF(AND($CC12,$ET11=CS$5),$CO12,0)	0	0
98	CT	DBO	=IF(vInforceValuationDate, sINPUT_DBOption, IF(BW12=BY12,BW12,IF(CC12,BY12,BW12)))	A	A
99	CU	Total SA	=SUM(CP12:CS12)	0	150000
100	CV				
101	CW	Input Face	=IFERROR(IF(NOT(vLiveCalc),CW11,INDEX(vINPUT_Specified_Amount,vYear)),CW11)	150000	150000
102	CX	Change in Input Face	=IF(CW12<>CW11,CW12-CU12,0)	0	0
103	CY	Specified Decrease / vSpecified_FaceDecrease	=IF(CX12<0,-CX12,0)	0	0
104	CZ	Cov / 1	=IF($CY12=0, CP12, CP12-MIN(CP12, MAX(0, $CY12-SUMIF($CP$5:$CS$5,">"&CZ$5,$CP12:$CR12))) )	0	150000
105	DA	Cov / 2	=IF($CY12=0, CQ12, CQ12-MIN(CQ12, MAX(0, $CY12-SUMIF($CP$5:$CS$5,">"&DA$5,$CP12:$CR12))) )	0	0
106	DB	Cov / 3	=IF($CY12=0, CR12, CR12-MIN(CR12, MAX(0, $CY12-SUMIF($CP$5:$CS$5,">"&DB$5,$CP12:$CR12))) )	0	0
107	DC	APB / 4	=IF($CY12=0, CS12, CS12-MIN(CS12, MAX(0, $CY12-SUMIF($CP$5:$CS$5,">"&DC$5,$CP12:$CR12))) )	0	0
108	DD	Partial Surrender Charge / Cov / 1	=MAX((CP12-CZ12)/1000*AN12,0)	0	0
109	DE	Cov / 2	=MAX((CQ12-DA12)/1000*AO12,0)	0	0
110	DF	Cov / 3	=MAX((CR12-DB12)/1000*AP12,0)	0	0
111	DG	APB / 4	0	0	0
112	DH	Total PSC Spec Dec	=IF(NOT(sbln_PSC),0,SUM(DD12:DG12))	0	0
113	DI	PSC Flag	=IF(DH12=0,FALSE,DH12>BO12)	False	False
114	DJ	Specified Increase / vSpecified_FaceIncrease	=IF(CX12>0,CX12,0)	150000	0
115	DK	Cov / 1	=IF($DJ12>0,IF(DK$5=$ET11+1,$DJ12,CZ12),CZ12)	150000	150000
116	DL	Cov / 2	=IF($DJ12>0,IF(DL$5=$ET11+1,$DJ12,DA12),DA12)	0	0
117	DM	Cov / 3	=IF($DJ12>0,IF(DM$5=$ET11+1,$DJ12,DB12),DB12)	0	0
118	DN	APB / 4	=DC12	0	0
119	DO	Total SA	=SUM(DK12:DN12)	150000	150000
120	DP				
121	DQ	Active / Cov 1 Active	=IF(vYear>sMaturityYear,FALSE, TRUE)	True	True
122	DR	vCov2Active	=IF(AND(INDEX(vInforceValuationDate,$B12),sINPUT_OriginalSA2>0),TRUE,IF(DR11,TRUE,IF(DL12>0,TRUE,FALSE)))	False	False
123	DS	vCov3Active	=IF(AND(INDEX(vInforceValuationDate,B12),sINPUT_OriginalSA3>0),TRUE,IF(DS11,TRUE,IF(DM12>0,TRUE,FALSE)))	False	False
124	DT	vAPB_Active	=sINPUT_APB_Boolean	False	False
125	DU	vCov1IssueDate	=sINPUT_Issue_Date	2017-06-09 00:00:00	2017-06-09 00:00:00
126	DV	vCov2IssueDate	=IF(DR12,IF(NOT(DR11), IF(sINPUT_IssueDateSA2>3,sINPUT_IssueDateSA2,vDate),DV11),"")		
127	DW	vCov3IssueDate	=IF(DS12,IF(NOT(DS11), IF(sINPUT_IssueDateSA3>3,sINPUT_IssueDateSA3,vDate),DW11),"")		
128	DX	Cov Duration / Months from Coverage Issue / vMonthsFromIssueCov1	=DX11+1	1	7
129	DY	vMonthsFromIssueCov2	=IF(AND($K12,sINPUT_CurrentSA2>0),DATEDIF(sINPUT_IssueDateSA2,$C12,"M")+1,IF(AND(DR12,NOT(DR11)),1,IF(DY11>0,DY11+1,0)))	0	0
130	DZ	vMonthsFromIssueCov3	=IF(AND($K12,sINPUT_CurrentSA3>0),DATEDIF(sINPUT_IssueDateSA3,$C12,"M")+1,IF(AND(DS12,NOT(DS11)),1,IF(DZ11>0,DZ11+1,0)))	0	0
131	EA	Months from Coverage Issue with termination setback / 1	=MAX(0,DX12-IF(sINPUT_InforceIndicator="Y",sINPUT_MonthsTerminatedCov1,0))	1	7
132	EB	2	=MAX(0,DY12-IF(sINPUT_InforceIndicator="Y",sINPUT_MonthsTerminatedCov2,0))	0	0
133	EC	3	=MAX(0,DZ12-IF(sINPUT_InforceIndicator="Y",sINPUT_MonthsTerminatedCov3,0))	0	0
134	ED	Duration by Policy Anniversary / Cov 1	=IF(DX12=0,0,IF(vInforceValuationDate*1,INT((DX12-1)/12)+1, IF(AND(DQ12,NOT(DQ11)),INT((DX12-1)/12)+1,IF($I12,ED11+1,ED11))))	1	1
135	EE	Cov 2	=IF(DY12=0,0,IF(vInforceValuationDate*1,INT((DY12-1+sIssueDateSA2_MonthOffset)/12)+1, IF(AND(DR12,NOT(DR11)),INT((DY12-1)/12)+1,IF($I12,EE11+1,EE11))))	0	0
136	EF	Cov 3	=IF(DZ12=0,0,IF(vInforceValuationDate*1,INT((DZ12-1+sIssueDateSA3_MonthOffset)/12)+1, IF(AND(DS12,NOT(DS11)),INT((DZ12-1)/12)+1,IF($I12,EF11+1,EF11))))	0	0
137	EG	Duration by Policy Anniversary   w termination setback / Cov 1	=IF(NOT(DQ12),0,MAX(1,INT((EA12-1)/12)+1))	1	1
138	EH	Cov 2		not needed	
139	EI	Cov 3		not needed	
140	EJ	Dur by Cov Anniversary / vDurByCovAnn1	=INT((DX12-1)/12)+1	1	1
141	EK	vDurByCovAnn2	=INT((DY12-1)/12)+1	0	0
142	EL	vDurByCovAnn3	=INT((DZ12-1)/12)+1	0	0
143	EM	Dur by Cov Anniversary   with termination setback / Cov 1	=IF(NOT(DQ12),0, MAX(1, INT((EA12-1)/12)+1))	1	1
144	EN	Cov 2	=IF(NOT(DR12),0, MAX(1, INT((EB12-1)/12)+1))	0	0
145	EO	Cov Duration / Cov 3	=IF(NOT(DS12),0, MAX(1, INT((EC12-1)/12)+1))	0	0
146	EP	Orignial Specified Amount / vOriginalSA1 / 1	=IF(vInforceValuationDate,INDIRECT("sINPUT_OriginalSA"&EP$5),IF(AND(DQ12,NOT(DQ11)),$CW12-$CW11,EP11))	150000	150000
147	EQ	vOriginalSA2 / 2	=IF(vInforceValuationDate,INDIRECT("sINPUT_OriginalSA"&EQ$5),IF(AND(DR12,NOT(DR11)),DL12,EQ11))	0	0
148	ER	vOriginalSA3 / 3	=IF(vInforceValuationDate,INDIRECT("sINPUT_OriginalSA"&ER$5),IF(AND(DS12,NOT(DS11)),DM12,ER11))	0	0
149	ES	vOriginalAPB_SA / APB	=ES11	0	0
150	ET	vLastActiveSegment	<openpyxl.worksheet.formula.ArrayFormula object at 0x00000242A40068D0>	1	1
151	EU	vCurrentSA1 / 1	=IF(vInforceValuationDate,INDIRECT("sINPUT_CurrentSA" & EU$5),DK12)	150000	150000
152	EV	vCurrentSA2 / 2	=IF(vInforceValuationDate,INDIRECT("sINPUT_CurrentSA" & EV$5),DL12)	0	0
153	EW	vCurrentSA3 / 3	=IF(vInforceValuationDate,INDIRECT("sINPUT_CurrentSA" & EW$5),DM12)	0	0
154	EX	vCurrentAPB_SA / 4	=_xlfn.SINGLE(IF(AND(sINPUT_APB_Change_Date<>"", sINPUT_APB_Change_Date=_xlfn.SINGLE(vDate)),sINPUT_APB_Change_Amount,IF(AND(sINPUT_APB_Boolean,_xlfn.SINGLE(vInforceValuationDate)*1),sINPUT_APB_Face,DN12)))	0	0
155	EY	Band Lock / vBandLockCov1 / 1	=IF(vInforceValuationDate,IF( INDIRECT("sINPUT_OriginalSA"&EY$5)>0,INDIRECT("sINPUT_Original_Band_Cov_" & EY$5),0), IF(AND(DQ12,NOT(DQ11)), VLOOKUP($DO12,INDIRECT("mBandTable" & sBandTableCode),2), EY11) )	3	3
156	EZ	vBandLockCov2 / 2	=IF(vInforceValuationDate,IF( INDIRECT("sINPUT_OriginalSA"&EZ$5)>0,INDIRECT("sINPUT_Original_Band_Cov_" & EZ$5),0), IF(AND(DR12,NOT(DR11)), VLOOKUP($DO12,INDIRECT("mBandTable" & sBandTableCode),2), EZ11) )	0	0
157	FA	vBandLockCov3 / 3	=IF(vInforceValuationDate,IF( INDIRECT("sINPUT_OriginalSA"&FA$5)>0,INDIRECT("sINPUT_Original_Band_Cov_" & FA$5),0), IF(AND(DS12,NOT(DS11)), VLOOKUP($DO12,INDIRECT("mBandTable" & sBandTableCode),2), FA11) )	0	0
158	FB	APB	=IF(vInforceValuationDate, IF(sINPUT_Original_APB_SA>0,sINPUT_Original_Band_APB,0), IF(AND(DT12,NOT(DT11)), VLOOKUP($DO12,INDIRECT("mBandTable" & sBandTableCode),2), FB11) )	3	3
159	FC	vCurrentSA	=SUM(EU12:EW12)	150000	150000
160	FD	Includes APB Amount / vCurrentBand	=VLOOKUP(FC12+EX12,INDIRECT("mBandTable" & sBandTableCode),2)	3	3
161	FE	Issue Age / Cov / vIssAgeCov1	=FE11	25	25
162	FF	Cov / vIssAgeCov2	=IF(AND(_xlfn.SINGLE(vInforceValuationDate)*1,DR12), sINPUT_IssueAgeSA2, IF(AND(DR12,NOT(DR11)), IF(sAgeCalc="ALB", TRUNC(YEARFRAC(sINPUT_DOB,_xlfn.SINGLE(vDate)*1),0), IF(sINPUT_ForecastDate-DATE(YEAR(sINPUT_DOB)+DATEDIF(sINPUT_DOB,_xlfn.SINGLE(vDate),"Y"),MONTH(sINPUT_DOB),DAY(sINPUT_DOB))>182,DATEDIF(sINPUT_DOB,DATE(YEAR(sINPUT_DOB)+DATEDIF(sINPUT_DOB, _xlfn.SINGLE(vDate),"Y"),MONTH(sINPUT_DOB),DAY(sINPUT_DOB)),"Y")+1,DATEDIF(sINPUT_DOB,DATE(YEAR(sINPUT_DOB)+DATEDIF(sINPUT_DOB,_xlfn.SINGLE(vDate),"Y"),MONTH(sINPUT_DOB),DAY(sINPUT_DOB)),"Y"))), FF11))	0	0
163	FG	Cov / vIssAgeCov3	=IF(AND(_xlfn.SINGLE(vInforceValuationDate)*1,DS12), sINPUT_IssueAgeSA3, IF(AND(DS12,NOT(DS11)), IF(sAgeCalc="ALB", TRUNC(YEARFRAC(sINPUT_DOB,_xlfn.SINGLE(vDate)*1),0), IF(sINPUT_ForecastDate-DATE(YEAR(sINPUT_DOB)+DATEDIF(sINPUT_DOB,_xlfn.SINGLE(vDate),"Y"),MONTH(sINPUT_DOB),DAY(sINPUT_DOB))>182,DATEDIF(sINPUT_DOB,DATE(YEAR(sINPUT_DOB)+DATEDIF(sINPUT_DOB, _xlfn.SINGLE(vDate),"Y"),MONTH(sINPUT_DOB),DAY(sINPUT_DOB)),"Y")+1,DATEDIF(sINPUT_DOB,DATE(YEAR(sINPUT_DOB)+DATEDIF(sINPUT_DOB,_xlfn.SINGLE(vDate),"Y"),MONTH(sINPUT_DOB),DAY(sINPUT_DOB)),"Y"))), FG11))	0	0
164	FH	Rateclass / vRateclassCov1	=IF(sINPUT_Rateclass_Change_Date<>"", IF(sINPUT_Rateclass_Change_Date=vDate, sINPUT_Rateclass_Change_NewRateclassCode,FH11),FH11)	N	N
165	FI	vRateclassCov2	=IF(vInforceValuationDate,sINPUT_Rateclass_Cov_2,IF(AND(NOT(DR11),DR12),FH12,FI11))		
166	FJ	vRateclassCov3	=IF(vInforceValuationDate,sINPUT_Rateclass_Cov_3,IF(AND(NOT(DS11),DS12),FI12,FJ11))		
167	FK	Substandard / Table Rating 1	=IF(sINPUT_Table_Rating_Change_Date<>"", IF(sINPUT_Table_Rating_Change_Date=vDate, sINPUT_Table_Rating_Change_NewTableRatingCode,FK11),FK11)	0	0
168	FL	Table Rating 2	=IF(vInforceValuationDate,IF(DR12,sINPUT_TableRatingSA2,IF(AND(DR12,NOT(DR11)),FK12,FL11)),IF(AND(DL12>DL11,DR12,NOT(DR11)),sINPUT_Table_Rating,FL11))	0	0
169	FM	Table Rating 3	=IF(vInforceValuationDate,IF(DS12,sINPUT_TableRatingSA2,IF(AND(DS12,NOT(DS11)),FL12,FM11)),IF(AND(DM12>DM11,DS12,NOT(DS11)),FL12,FM11))	0	0
170	FN	vBaseFlat1	=IF(G12<sINPUT_Flat_1_CeaseAge,sINPUT_Flat_1_Amount*IF(sINPUT_Flat_1_CeaseAge-sINPUT_Issue_Age<6,1,IF(sINPUT_FlatDiscount,0.8,1)),0)	0	0
171	FO	vBaseFlat2	=IF(G12<sINPUT_Flat_2_CeaseAge,sINPUT_Flat_2_Amount*IF(sINPUT_Flat_2_CeaseAge-sINPUT_Issue_Age<6,1,IF(sINPUT_FlatDiscount,0.8,1)),0)	0	0
172	FP	vCoverage_Change	=IF(NOT(vLiveCalc),FALSE,OR(FC12<>FC11,FH12<>FH11,FI12<>FI11,FJ12<>FJ11,FK12<>FK11,FL12<>FL11,FM12<>FM11,FN12<>FN11,FO12<>FO11))	False	False
173	FQ	vPolicyChangeAVReduction	=BN12+CM12+DH12	0	0
174	FR				
175	FS	Premium Waiver / vPW_Active	=IF(vAttainedAge>=sRates_PW_PayupAge,FALSE,IF(AND(sPW_Change_Date<>"",vDate>=sPW_Change_Date),sPW_Change_Active,sINPUT_PW_Boolean))	False	False
176	FT	vPW_Change	=AND((FS12<>FS11),vAttainedAge<sRates_PW_PayupAge)	False	False
177	FU	Stipulated Premium Waiver / vPWST_Active	=FV12>0	False	False
178	FV	vPWST_Units	=IF(AND(sPWST_Change_Date<>"",vDate>=sPWST_Change_Date),sPWST_Change_Amount,IF(sINPUT_PWST_Boolean,IF(vAttainedAge>=sRates_PWSTP_PayupAge,0,sINPUT_PWST_Premium),0))	0	0
179	FW	vPWST_Change	=IF(OR(FU12<>FU11,FV12<>FV11),vAttainedAge<sRates_PWSTP_PayupAge,FALSE)	False	False
180	FX	Guaranteed Increase Option / vGIR_Active	=FY12>0	False	False
181	FY	vGIR_Units	=IF(AND(sGIR_Change_Date<>"",vDate>=sGIR_Change_Date),sGIR_Change_Units,IF(sINPUT_GIR_Boolean,IF(vAttainedAge>=sRates_GIO_PayupAge,0,sINPUT_GIR_Units),0))	0	0
182	FZ	vGIO_Change	=IF(OR(FX12<>FX11,FY12<>FY11),vAttainedAge<sRates_GIO_PayupAge,FALSE)	False	False
183	GA	Accidential Death Benefit / vADB_Active	=GB12>0	False	False
184	GB	vADB_Units	=_xlfn.SINGLE(IF(AND(sADB_Change_Date<>"",_xlfn.SINGLE(vDate)>=sADB_Change_Date),sADB_Change_Units,IF(sINPUT_ADB_Boolean,IF(_xlfn.SINGLE(vAttainedAge)>=sRates_ADB_PayupAge,0,sINPUT_ADB_Units),0)))	0	0
185	GC	vADB_Change	=IF(OR(GA12<>GA11,GB12<>GB11),vAttainedAge<sRates_ADB_PayupAge,FALSE)	False	False
186	GD	Childresn Term Rider / vCTR_Active	=GE12>0	False	False
187	GE	vCTR_Units	=IF(vAttainedAge>=MIN(sINPUT_CTR_CeaseAge,sRates_CTR_BenefitCeaseAge),0,IF(AND(sCTR_Change_Date<>0,sCTR_Change_Date<>"",vDate>=sCTR_Change_Date),sCTR_Change_Units,IF(sINPUT_CTR_Boolean,sINPUT_CTR_Units,0)))	0	0
188	GF	vCTR_Change	=AND(OR(GD12<>GD11,GE12<>GE11),vAttainedAge<sRates_CTR_BenefitCeaseAge)	False	False
189	GG	Shadow Benefit (CCV) / vCCV_Active	=IF(vAttainedAge>=121,FALSE,IF(AND(sINPUT_CCV_Change_Date<>"",vDate>=sINPUT_CCV_Change_Date),FALSE,UPPER(TRIM(sShadowBenefit))="TRUE"))	False	False
190	GH	vCCV_Change	=AND(GG12<>GG11,vAttainedAge<sRates_CCV_BenefitCeaseAge)	False	False
191	GI	vCCV_Units	=IF(GG12,vCurrentSA/1000,0)	0	0
192	GJ	vCOLA_Active	=IF(vAttainedAge<65,GJ11,FALSE)	False	False
193	GK	Term Rider 1 / vR1_Active	=GP12>0	False	False
194	GL	R1 Duration	=IF(sINPUT_R1_Boolean,IF(vInforceValuationDate,sRider1_InforceDuration,IF(vAnniversary,GL11+1,GL11)),0)	1	0
195	GM	R1 Att Age	=sINPUT_R1_Issue_Age+GL12-1	28	27
196	GN	vR1_Table	=IF(GK12,IF(GM12<=sINPUT_R1_Table_Rating_CeaseAge,sINPUT_R1_Table_Rating,0),0)	0	0
197	GO	R1 Flat	=IF(GK12,IF(GM12<=sINPUT_R1_Flat_CeaseAge,sINPUT_R1_Flat_Extra*IF(MIN(sINPUT_R1_Cease_Year,sINPUT_R1_MaturityAge)<=6,1,0.8),0),0)	0	0
198	GP	vR1_Face	=IF(sINPUT_R1_Boolean,IF($C12>=sINPUT_R1_CeaseDate,0,IF(AND(sINPUT_R1_Change_Date<>0,sINPUT_R1_Change_Date<>"",vDate>=sINPUT_R1_Change_Date),sINPUT_R1_Change_Amount,IF(sINPUT_R1_Boolean,sINPUT_R1_Face,0))),0)	0	0
199	GQ	vR1_Band	=IF(GK12,VLOOKUP(GP12,INDIRECT(sRider1_BandTable),2),0)	0	0
200	GR	vR1_Change	=AND(OR(GP12<>GP11,GN12<>GN11,GK12<>GK11),GM12<sINPUT_R1_MaturityAge)	False	False
201	GS	Term Rider 2 / vR2_Active	=GX12>0	False	False
202	GT	R2 Duration	=IF(sINPUT_R2_Boolean, IF(vInforceValuationDate,sRider2_InforceDuration,IF(vAnniversary,GT11+1,GT11)),0)	1	0
203	GU	R2 Att Age	=sINPUT_R2_Issue_Age+GT12-1	25	24
204	GV	vR2_Table	=IF(GS12,IF(GU12<=sINPUT_R2_Table_Rating_CeaseAge,sINPUT_R2_Table_Rating,0),0)	0	0
205	GW	R2 Flat	=IF(GS12,IF(GU12<=sINPUT_R2_Flat_CeaseAge,sINPUT_R2_Flat_Extra*IF(MIN(sINPUT_R2_Cease_Year,sINPUT_R2_Period)<=6,1,0.8),0),0)	0	0
206	GX	vR2_Face	=IF(sINPUT_R2_Boolean,IF($C12>=sINPUT_R2_CeaseDate,0,IF(AND(sINPUT_R2_Change_Date<>"",vDate>=sINPUT_R2_Change_Date),sINPUT_R2_Change_Amount,IF(sINPUT_R2_Boolean,sINPUT_R2_Face,0))),0)	0	0
207	GY	vR2_Band	=IF(GS12,VLOOKUP(GX12,INDIRECT(sRider2_BandTable),2),0)	0	0
208	GZ	vR2_Change	=AND(OR(GX12<>GX11,GV12<>GV11,GS12<>GS11),GU12<sINPUT_R2_MaturityAge)	False	False
209	HA	Term Rider 3 / vR3_Active	=HF12>0	False	False
210	HB	R3 Duration	=IF(sINPUT_R3_Boolean,IF(vInforceValuationDate,sRider3_InforceDuration,IF(vAnniversary,HB11+1,HB11)),0)	1	0
211	HC	R3 Att Age	=sINPUT_R3_Issue_Age+HB12-1	30	29
212	HD	vR3_Table	=IF(HA12,IF(HC12<=sINPUT_R3_Table_Rating_CeaseAge,sINPUT_R3_Table_Rating,0),0)	0	0
213	HE	R3 Flat	=IF(HA12,IF(HC12<=sINPUT_R3_Flat_CeaseAge,sINPUT_R3_Flat_Extra*IF(MIN(sINPUT_R3_Cease_Year,sINPUT_R3_MaturityAge)<=6,1,0.8),0),0)	0	0
214	HF	vR3_Face	=IF(sINPUT_R3_Boolean,IF($C12>=sINPUT_R3_CeaseDate,0,IF(AND(sINPUT_R3_Change_Date<>"",vDate>=sINPUT_R3_Change_Date),sINPUT_R3_Change_Amount,IF(sINPUT_R3_Boolean,sINPUT_R3_Face,0))),0)	0	0
215	HG	vR3_Band	=IF(HA12,VLOOKUP(HF12,INDIRECT(sRider3_BandTable),2),0)	0	0
216	HH	vR3_Change	=AND(OR(HF12<>HF11,HD12<>HD11,HA12<>HA11),HC12<sINPUT_R3_MaturityAge)	False	False
217	HI	vMaterialChangeIndicator	=IF(NOT(vLiveCalc),FALSE,IF(vAttainedAge*1<100,OR((INDEX(vDBO,vID-1)&vDBO="BA"),vCurrentSA>INDEX(vCurrentSA,vID-1),LL12>0)))	False	False
218	HJ	=IFERROR(MATCH(1,vPolicyChangeIndicator,0),0) / vPolicyChangeIndicator	=IF(vAttainedAge>100,FALSE,IF(NOT(vLiveCalc),FALSE,OR(1*vCTR_Change,1*vR1_Change,1*vR2_Change,1*vR3_Change,1*vPW_Change,1*vPWST_Change,1*vGIO_Change,1*vCoverage_Change)))	False	False
219	HK	=MAX(HK7:HK1482) / vChangeCount	=IF(OR(HI12,HJ12),MIN(sMax7702RecalcsAllowed,HK11+1),HK11)	0	0
220	HL	vChangeMonth	=IF(HK12>HK11,vPolicyMonth,HL11)	1	1
221	HM	vAV_AfterChanges	=AV12-vPolicyChangeAVReduction	0	-159.6337540224544
222	HN				
223	HO	Coverage Segments MTP Rate / MTP Rate Cov 1	=PolicyRates!I10	3.75	3.75
224	HP	MTP Rate Cov 2	=PolicyRates!J10	0	0
225	HQ	MTP Rate Cov 3	=PolicyRates!K10	0	0
226	HR	MTP Rate APB	=PolicyRates!L10	0	0
227	HS	MTP Rate Cov 1 Tbl	=PolicyRates!M10	0.94	0.94
228	HT	MTP Rate Cov 2 Tbl	=PolicyRates!N10	0	0
229	HU	MTP Rate Cov 3 Tbl	=PolicyRates!O10	0	0
230	HV	MTP Rate APB Tbl	=PolicyRates!P10	0	0
231	HW	MTP Premium / MTP Cov 1	=ROUND(CHOOSE(sTarget_SA_Basis,EP12,EU12)*HO12/1000,2) + ROUND($FK12*HS12*CHOOSE(sTarget_SA_Basis,EP12,EU12)/1000,2) + ROUND((12*TRUNC($FN12/12,2)+12*TRUNC($FO12/12,2))*CHOOSE(sTarget_SA_Basis,EP12,EU12)/1000,2)	562.5	562.5
232	HX	MTP Cov 2	=ROUND(CHOOSE(sTarget_SA_Basis,EQ12,EV12)*HP12/1000,2) + ROUND($FK12*HT12*CHOOSE(sTarget_SA_Basis,EQ12,EV12)/1000,2) + ROUND((12*TRUNC($FN12/12,2)+12*TRUNC($FO12/12,2))*CHOOSE(sTarget_SA_Basis,EQ12,EV12)/1000,2)	0	0
233	HY	MTP Cov 3	=ROUND(CHOOSE(sTarget_SA_Basis,ER12,EW12)*HQ12/1000,2) + ROUND($FK12*HU12*CHOOSE(sTarget_SA_Basis,ER12,EW12)/1000,2) + ROUND((12*TRUNC($FN12/12,2)+12*TRUNC($FO12/12,2))*CHOOSE(sTarget_SA_Basis,ER12,EW12)/1000,2)	0	0
234	HZ	MTP APB	=ROUND(CHOOSE(sTarget_SA_Basis,ES12,EX12)*HR12/1000,2) + ROUND($FK12*HV12*CHOOSE(sTarget_SA_Basis,ES12,EX12)/1000,2) + ROUND((12*TRUNC($FN12/12,2)+12*TRUNC($FO12/12,2))*CHOOSE(sTarget_SA_Basis,ES12,EX12)/1000,2)	0	0
235	IA	Rider MTP / MTP Rate 1	=PolicyRates!Q10	0	0
236	IB	MTP Rate 2	=PolicyRates!R10	0	0
237	IC	MTP Rate 3	=PolicyRates!S10	0	0
238	ID	MTP Rate 1 Tbl	=PolicyRates!T10	0	0
239	IE	MTP Rate 2 Tbl	=PolicyRates!U10	0	0
240	IF	MTP Rate 3 Tbl	=PolicyRates!V10	0	0
241	IG	MTP 1	=IF(GK12,ROUND(GP12*IA12/1000,2) + ROUND(GN12*ID12*GP12/1000,2) + ROUND(12*TRUNC(GO12/12,2)*GP12/1000,2),0)	0	0
242	IH	MTP 2	=IF(GS12,ROUND(GX12*IB12/1000,2) + ROUND(GV12*IE12*GX12/1000,2) + ROUND(12*TRUNC(GW12/12,2)*GX12/1000,2),0)	0	0
243	II	MTP 3	=IF(HA12,ROUND(HF12*IC12/1000,2) + ROUND(HD12*IF12*HF12/1000,2) + ROUND(12*TRUNC(HE12/12,2)*HF12/1000,2),0)	0	0
244	IJ	Benefits MTP / PWSTP / MTPR	=PolicyRates!W10	0	0
245	IK	MTP	=IF(vPWST_Active,IF(sblnFFL,JD12,vPWST_Units*IJ12*(1+sTableRatingFactor*FK12)),0)	0	0
246	IL	CCV / MTPR	=PolicyRates!Y10	0	0
247	IM	MTP	=IL12*vCurrentSA/1000	0	0
248	IN	CTR / MTPR	=PolicyRates!Z10	0	0
249	IO	MTP	=IF(vCTR_Active,vCTR_Units*IN12,0)	0	0
250	IP	GIR / MTPR	=PolicyRates!DG10	0	0
251	IQ	MTP	=IF(vGIR_Active,vGIR_Units*IP12,0)	0	0
252	IR	ADB / MTPR	=PolicyRates!X10	0	0
253	IS	MTP	=IF(vADB_Active,vADB_Units*IR12,0)	0	0
254	IT	PW39 / MTP w/o PW	=IS12+IQ12+IO12+IK12+IM12+IG12+IH12+II12+HW12+HX12+HY12+HZ12	562.5	562.5
255	IU	MTPR	=PolicyRates!DH10	0	0
256	IV	MTP	=IF(vPW_Active,IF(sblnFFL, JB12,IU12*IT12*(1+sTableRatingFactor*vTableCov1)),0)	0	0
257	IW	FFL Premium Waivers / vMin_Base	=IF(HJ12,SUMPRODUCT(PolicyRates!EH10:EJ10,EU12:EW12)/1000,IW11)	7.875	7.875
258	IX	vMin_Base_Table	=SUMPRODUCT(PolicyRates!EH10:EJ10,FK12:FM12,EU12:EW12)*sTableRatingFactor/1000	0	0
259	IY	vMin_Base_Flat	=SUM(EU12:EW12)*(vFlat1)	0	0
260	IZ	vPWoC_MinBasis	=(IG12+IH12+II12+IO12+IQ12+IS12)/12+IW12+IX12+IY12+PolicyRates!FE10	12.875	12.875
261	JA	vPWoT_MinBasis	=SUM(HW12:HZ12,IG12:II12,IO12,IQ12,IS12,IV12)	562.5	562.5
262	JB	PWoC_MTP	=TRUNC(IU12*IZ12*(1+sTableRatingFactor*vTableCov1),2)	0	0
263	JC	PWoT_wTable	=TRUNC(IJ12/100*(1+FK12*sTableRatingFactor)/(1-IJ12/100*(1+FK12*sTableRatingFactor)),5)	0	0
264	JD	PWoT_MTP	=TRUNC(JA12*JC12,2)	0	0
265	JE	vMonthlyMTP	=TRUNC(JG12/12,2)	46.87	46.87
266	JF	vAccumMTP	=IF(vInforceValuationDate,sINPUT_Accum_Min,JE12+JF11)	46.87	328.09
267	JG	vMTP	=IF(sINPUT_InforceIndicator="Y", IF(vInforceValuationDate,sINPUT_MonthlyMTP*12, IF(vPolicyChangeIndicator,SUM(HW12:HZ12)+IK12+IM12+IO12+SUM(IG12:II12)+IQ12+IS12+IV12, JG11)), SUM(HW12:HZ12)+IK12+IM12+IO12+SUM(IG12:II12)+IQ12+IS12+ IV12)	562.5	562.5
268	JH				
269	JI	Coverage Segments CTP (Original SA) / CTP Rate Cov 1	=PolicyRates!AC10	4.5	4.5
270	JJ	CTP Rate Cov 2	=PolicyRates!AD10	0	0
271	JK	CTP Rate Cov 3	=PolicyRates!AE10	0	0
272	JL	CTP Rate APB	=PolicyRates!AF10	0	0
273	JM	CTP Rate Cov 1 Tbl	=PolicyRates!AG10	0.94	0.94
